,CT_Jurkat_Empty_H3K27ac,CT_Jurkat_Tax_H3K27ac,CT_TL-Om1_Empty_H3K27ac,CT_TL-Om1_Tax_H3K27ac
,0.82549681276083,0.9830116020143032,0.6843431840091944,0.6832076396048069
A1BG,4.877686988949776,3.227865944325924,2.1034081555604933,1.7193054023981094
A1CF,0.1254911994934082,0.0,0.23747155599296094,0.09505513966083527
A2M,0.2980415987968445,0.3692032113671303,0.26357072055339814,0.3827447662353516
A2ML1,0.9607920008897781,0.42576311945915224,0.4279042959213257,0.13812680527567864
A3GALT2,1.5051100840568543,1.3916608791947365,1.333787119090557,1.3937421305179596
A4GALT,1.6572681963443756,0.4549821224808693,0.7562676078379155,0.5845884549915791
A4GNT,0.2509823989868164,0.46541751593351366,0.3034781387448311,0.22129979208111764
AAAS,7.647121315598488,10.157780446827411,16.397843921869992,14.560022645473481
AACS,3.3231637830734253,3.7078923751115798,4.372515758186578,4.38440455570817
AADAC,0.22353119909763336,0.0918312782049179,0.24080981959402561,0.09505501180887223
AADACL2,0.0,0.0,0.0,0.0
AADACL3,0.2941199988126755,0.41532763808965684,0.14415215000510215,0.34457450106739995
AADACL4,1.1039304170012474,0.20453317180275918,0.40969565317034723,0.2807094772160053
AADAT,2.1023697854876517,1.2960724195837974,0.14566940069198608,0.08139084175229072
AAGAB,8.572618011832237,21.91112743213773,12.994941646754741,11.380588952228427
AAK1,2.050996984243393,0.6488710581362247,2.8159747879207133,1.8880273395776748
AAMDC,10.692241901516914,24.595102398842574,22.831735046073796,23.493544972643257
AAMP,9.035368016958238,16.56592880600691,21.89201354184747,21.05642898270488
AANAT,3.0262991243600847,4.929662880897522,16.377055492162704,23.23050880753994
AAR2,4.949453579962253,6.898400188803673,9.567304835900664,7.075347280651331
AARD,0.12156959950923919,0.2671454840898514,0.6318416610360146,0.5361694537103177
AARS1,19.086423808157445,29.037431715875865,15.584520113021135,20.22410348880291
AARS2,4.061209363818168,5.029635282546282,4.850948241651058,4.6012494352459905
AARSD1,6.80476295030117,9.094207187473774,9.656679937630892,8.598006934076547
AASDH,8.827521382451057,13.61355434268713,13.961828711092473,12.145334096968174
AASDHPPT,4.950235586166382,8.167131469130515,29.765915273606776,29.174406352281572
AASS,1.2902064096927643,2.0044247885346413,6.810356052339077,4.113498937219381
AATF,0.0,0.0,0.0,0.0
AATK,1.988643279850483,1.0623204046487809,0.7975407204031945,0.7279126019328832
ABAT,1.901975468993187,6.77212767201662,3.3158030313253404,2.4390484841167925
ABCA1,2.286292783021927,1.3743380320072174,0.43321510769426824,0.47230453714728354
ABCA10,0.10980479955673218,0.19618502140045166,0.31774141496419905,0.09505511999130249
ABCA12,0.3215711987018585,0.19827200710773468,4.275402454435826,4.483322301924229
ABCA13,0.3764735984802246,0.26714526951313017,1.374756105095148,2.7120340563356877
ABCA2,2.994141838252544,2.9219011165201665,4.469476978033781,6.548386768102646
ABCA3,1.9113878531455994,1.5077021164298057,9.364735068917275,8.41651164546609
ABCA4,1.2690297745466232,0.36231593233346937,0.8679479052126408,0.49755354031920435
ABCA5,1.6274645769596099,1.0581458485126496,2.838129199385643,2.297654168456793
ABCA6,0.0,0.07722174555063248,0.6479261018335819,0.42106430925428867
ABCA7,6.659268581151962,9.983715685874223,12.839712512895465,17.830206403255463
ABCA8,0.21647231912612916,0.12731148928403854,0.4121232924461365,0.2358552886247635
ABCA9,0.2509823989868164,0.118754537910223,0.3808650091290474,0.23763734221458435
