module,gene,rho_monocyte,cohens_d_ATL
clear,ATP6V0E1,0.08885666463815352,0.2928238358798743
clear,ATP6V1A,0.11938571660324133,0.6764383668540102
clear,ATP6V1H,0.059561733015262276,0.7393654799643348
clear,CTSB,0.45865728742441075,1.344307823662663
clear,CTSD,0.6335616438356165,0.47770625394203725
clear,CTSF,-0.09579785264716772,-0.5288731545512213
clear,GBA,-0.008345738814104348,0.6352793750979684
clear,HEXA,0.19687152906330993,1.4749295933204114
clear,MCOLN1,0.3955325188201901,1.1140026661305684
clear,NBR1,-0.16899865790388502,-0.051749350855978316
clear,SQSTM1,-0.14050460095908024,-1.4094193211154715
clear,TFE3,0.1515796618536345,0.4256686441777571
clear,TFEB,0.296883074819664,0.41516428549003903
elongation,ATG10,0.25055728247445996,0.7288611912583177
elongation,ATG12,0.10212267061582132,-0.22035329771551912
elongation,ATG16L1,-0.2837881616430734,-0.2966883014787417
elongation,ATG3,0.02060965074663705,0.011103860469676725
elongation,ATG4B,0.012341108231519193,0.14625168090344134
elongation,ATG5,-0.11153362592601561,-0.14253355706632576
elongation,ATG7,0.018851042823645567,0.9430987520815642
elongation,ATG9A,-0.2118213302337649,-0.26906479762480706
elongation,GABARAP,0.5810193755399236,0.774950125038295
elongation,GABARAPL1,0.04145101699352752,-2.175042723314716
elongation,GABARAPL2,0.10463797851399224,0.6290323890442644
elongation,MAP1LC3A,0.12177588547451564,1.4803953278223239
elongation,MAP1LC3B,0.1634271257558929,0.4254000226678968
elongation,WIPI1,0.525781545288574,-0.23142793270783513
elongation,WIPI2,0.057943290885621654,-0.3907336594728186
fusion,LAMP1,0.20786633888417472,0.20968384490955036
fusion,LAMP2,0.31661357379053173,0.21729188650880069
fusion,PLEKHM1,-0.09397753918301864,-1.3132180500536232
fusion,RAB7A,-0.05204902543214062,-0.9120212952818602
fusion,SNAP29,0.1880659642634653,1.078280273955271
fusion,STX17,-0.2765993552000601,-1.6504786721319356
fusion,VAMP7,-0.19002367968971787,-0.39971385595347053
fusion,VAMP8,0.30904154393322947,1.6753913685784025
fusion,VPS11,-0.40466806020625745,-1.370898600608211
fusion,VPS16,0.13127853881278542,2.218193877496315
fusion,VPS18,0.24769368436090022,0.7635622417553664
fusion,VPS33A,0.0075897815623843035,0.18708634799821378
fusion,VPS39,-0.5131124274959892,-1.249438480137744
fusion,VPS41,0.15639269406392695,0.43737941624295457
initiation,AMBRA1,-0.44683214296540663,-1.9649854315610926
initiation,BECN1,-0.15994076268048874,0.5192464550296291
initiation,NRBF2,-0.21401189384116384,-0.4650998041718358
initiation,PIK3C3,-0.25925583117363943,-1.5374145918308708
initiation,PIK3R4,-0.39697023457180636,-0.4449630634210708
initiation,RB1CC1,-0.1554837366124912,-0.4261338539711681
initiation,SH3GLB1,0.18804908714220336,0.49145944867321034
initiation,ULK1,0.06792342225018766,0.05665214059449018
initiation,ULK2,0.08274713069233619,0.5746518894892245
