,Empty,IRF4,Empty_Tax,IRF4_Tax
,0.2454983827471733,0.5453457087278366,0.44648386143147945,0.32751017808914185
A1BG,2.985828763127327,2.5945763748884203,2.5738771876990794,2.938948490858078
A1CF,0.1518057632446289,0.36933470487594605,0.5262956450134516,0.3344781690835953
A2M,0.3059835058450699,0.5511167055368423,0.4492600486278534,0.3344786047935486
A2ML1,1.538693096935749,1.0055714036226273,2.054984035074711,1.10907436388731
A3GALT2,1.2282032660245896,1.9724785568714143,1.342690843909979,1.1244050689935685
A4GALT,0.47676502645015717,0.501487271785736,0.6768972830176353,0.3924546183347702
A4GNT,0.951157898902893,0.4472410386800766,0.6662556602060795,0.41531047999858856
AAAS,53.20317681765556,59.78432496547699,46.70411469292641,45.99798740065098
AACS,17.493711184978483,17.694589847922327,17.69697471022606,17.468124636173247
AADAC,0.058350340247154235,0.7242423105239868,0.8143122914433479,0.08947298574447632
AADACL2,0.0,0.0,0.0,0.0
AADACL3,0.4222098457813263,0.6145958375930786,0.7148368673026562,0.3177544182538986
AADACL4,0.8479775038361549,0.8915968936681747,1.5118003483861684,0.8194720661640167
AADAT,5.605662401199341,5.029011505782604,4.673280634343624,5.478475118637085
AAGAB,35.30788304537535,38.236245793104175,31.134760187417267,32.82903456300497
AAK1,0.6119669723510742,0.2971988821029663,0.5966225108951331,0.4311982130408287
AAMDC,36.896621162831785,37.91278959059715,33.40466223838926,35.85494005727768
AAMP,61.68720436894893,72.99322794342041,52.70922682094574,56.8066484516859
AANAT,37.82596308737993,22.159214367508888,30.87451248666644,31.733616052865983
AAR2,14.195022780656815,15.23072701883316,12.654016757428646,14.088224426627159
AARD,0.612678440272808,0.6549916911125183,1.06253930182755,0.6773183053731918
AARS1,38.27139830344915,39.678089528918264,30.465967197328805,34.534324015498164
AARS2,15.06932855117321,16.477231219410896,10.661262297272682,13.822866811811924
AARSD1,20.99378585088253,26.014436160326003,18.491392991900444,17.307014443039893
AASDH,30.870169095158577,36.987142154812815,30.28182325011492,30.6872486243248
AASDHPPT,0.48482969611883164,0.5840105074644089,0.8857967911511659,0.8752183151245118
AASS,29.419479917883873,37.53421451640129,32.0608166808784,33.57936612212658
AATF,0.0,0.0,0.0,0.0
AATK,3.1912415341734888,2.914281376004219,3.4050791774988176,3.596477321743965
ABAT,6.284756366610527,4.819817768931389,6.807846182733774,6.6421784222126
ABCA1,7.860689744651317,7.542505360245705,7.255948524326086,8.168237227499485
ABCA10,0.14421548938751222,0.140808744430542,0.05737207019329071,0.0
ABCA12,0.5967863167524338,0.12868995904922487,0.5612279877364635,0.3467427662611008
ABCA13,0.18975724697113036,0.45589748203754427,0.8471626026034356,0.5156543654203415
ABCA2,18.969784437119962,18.75383527994156,16.27586169153452,20.74043771862984
ABCA3,16.87035826909542,11.001557953953743,21.36786259660125,20.324564908146858
ABCA4,0.7969801449775695,1.1830252188444137,0.5727947981357574,0.8350815485715866
ABCA5,27.199796372056007,16.467130952477454,23.84873689806461,26.059748435735703
ABCA6,0.10436646223068237,0.21784959435462953,0.423350003361702,0.3818629044294357
ABCA7,49.58592509651184,47.927529063224796,42.945543085098265,42.82853752326965
ABCA8,0.21347685933113097,0.2775778937339783,0.33636685636639596,0.275387349486351
ABCA9,0.07590288162231446,0.15263898730278014,0.5734892468601466,0.49837326401472093
ABCB1,0.12168180710077285,0.09031380534172058,0.12330368311703205,0.14661310690641402
ABCB10,64.89768685865403,49.22828033518791,52.721714226841925,59.70909921979904
ABCB11,0.42505627059936524,0.3687573266029358,0.39327613279223445,0.38743749797344207
ABCB4,0.27870590299367903,0.3347094938158989,0.5714070935547352,0.6020611149072647
ABCB5,0.5882472562789917,0.4155014330148697,0.39096264615654946,0.42673891413211823
ABCB6,9.260145695209504,10.557775513648988,8.57897972586751,9.418343500256539
ABCB7,7.995893801689148,13.109075036406518,7.667963687896728,6.488317412495613
ABCB8,56.77819402682781,55.991726217865946,45.20179741197825,54.1837806994915
ABCB9,23.177889652252198,26.47408397257328,18.95083542537689,19.67428315794468
ABCC1,0.4649051171541214,0.6059396314620972,0.485811982601881,0.5184415471553803
ABCC10,32.51963423347473,41.297381343245505,33.40952516999841,34.41446452450752
ABCC11,1.0341764295101166,1.6319976938962937,1.298273977547884,1.2108106334209443
ABCC12,3.5370711542367936,4.236382433176041,4.309383116722107,4.41288258767128
ABCC2,0.1873852390050888,0.5049500262737274,0.1781307615339756,0.47941915690898895
ABCC3,1.5137875104546548,1.1183916267156602,1.1455901632606984,2.585237316906452
ABCC4,43.463880347311495,32.91695316433906,30.935814526081085,40.99447600841522
ABCC5,40.42942872941494,51.1381361143589,37.11788760355115,43.37040903311968
ABCC6,0.0,0.0,0.0,0.0
ABCC8,2.875295513033867,3.663339075088501,3.572337118834257,2.7304569638967515
ABCC9,0.45162225353717805,1.3702895069122314,0.7580971555262804,0.6020610511302948
ABCD1,37.453797062635424,38.817076221942905,32.42217070168257,37.5407154006958
ABCD2,7.61471831291914,27.321245158910752,8.663648449271918,23.354939368367194
ABCD3,51.15899354374409,57.52878158688545,47.84691469073296,49.42751437902451
ABCD4,27.43888655126095,33.40603160381317,24.132132307589053,25.813353071510793
ABCE1,27.99013097155094,40.34115937709808,29.210718835920094,31.4677057390213
ABCF1,0.0,0.0,0.0,0.0
ABCF2,43.31919694364071,48.176549741625784,36.73895169734955,44.93156937777996
ABCF2-H2BK1,43.29357973849773,48.07469415485859,36.68620644474029,44.91596040856838
ABCF3,63.301819432973865,58.96514491975307,52.51512101203203,58.2201100975275
ABCG1,1.6411615921854972,1.066453903913498,1.0100249342024326,1.332059912264347
ABCG2,1.229151656985283,1.7249082012176513,2.157466955304146,1.1533925583362579
ABCG4,28.322203768134116,25.714341634750365,23.018698655605316,23.620287143826484
ABCG5,0.6202688816189766,0.4198296731710434,0.5528996872901917,0.8097163656353951
ABCG8,1.3430064865350724,0.44839523017406463,1.1344861581623553,0.7915983974933625
ABHD1,6.973808847784996,8.373221041440964,5.4272122633457185,6.421421112000942
ABHD10,42.171169369220735,44.22494166612625,38.03907886683941,34.869336863160136
ABHD11,47.10389457464218,46.379788309574124,37.41910247176886,44.36017611384392
ABHD12,37.302702513039115,24.07600594520569,33.600840728282925,37.05600813150406
ABHD12B,0.7187052935361862,1.598238581418991,1.5807392504960298,1.0109606760144234
ABHD13,32.938051024794575,38.926712638258934,33.674641972064975,34.350347161531445
ABHD14A,2.6940769871473313,2.536867863535881,2.2430626946091654,2.2883879977464674
ABHD14A-ACY1,51.00816081619263,52.63308102035523,39.54139036655426,45.18855802917481
ABHD14B,41.75962128734589,47.267335705518725,38.120273079872135,38.8844861510992
ABHD15,19.618284303307533,16.222160752296446,16.032490273714064,16.835678816556932
ABHD16A,0.0,0.0,0.0,0.0
ABHD16B,1.7585744928121567,2.2760253665447236,2.0376334009170534,1.955583057284355
ABHD17A,12.344176397323608,10.81861765241623,11.616460075855255,11.142583281755448
ABHD17B,58.3785517861247,60.08901677131653,49.838061801731584,58.314323041677476
ABHD17C,0.6641499388217926,0.8281175190210343,0.7703588359057904,0.2759448742866516
ABHD18,66.0402383774519,69.32672907233238,54.11946167469025,61.97044376075268
ABHD2,33.87618134236336,35.30319307529926,29.92740647149086,34.62043984121084
ABHD3,43.01795551896095,40.046838324069974,35.070992117375134,38.11100641965866
ABHD4,9.836537536382675,14.355000668168067,10.875248328894378,10.471955867409706
ABHD5,29.739696480631828,23.93750269842148,28.03088730171323,31.141044343471528
ABHD6,31.657187368631362,28.165232132911683,25.681872498005628,30.53897235119343
ABHD8,39.25600762605667,37.908742444634434,32.270876556903126,32.09596348249912
ABI1,54.20105389118194,59.70583382058144,43.94052526664734,50.84848711705208
ABI2,23.681694554090498,23.738409657478332,18.703763186335564,22.00866221189499
ABI3,2.4639958705306055,1.6011236429214477,3.552673317462206,2.6195214738845825
ABI3BP,0.5692716425657273,1.3215260690450668,1.080353045463562,0.5630387130379677
ABITRAM,33.738825085163114,37.98087700366974,29.25513620018959,35.74177996098995
ABL1,41.698426079690456,41.15512641513347,31.08086596657336,37.44956494021416
ABL2,9.736913856983184,10.241534098982811,11.995394184827804,10.580659087777137
ABLIM1,4.309857859015465,4.219070790410042,4.046351092845201,3.2728678576350214
ABLIM2,47.67981008207798,36.74129524350166,42.09167415466904,46.3007148758173
ABLIM3,6.961003242373467,6.859525161206722,6.638041673749686,5.970714287638664
ABO,0.2979188103675842,0.5291875970363616,0.17720566841959953,0.18340570175647736
