set,n_genes,CSI,collection,z,pct,risk
REACTOME_SEMAPHORIN_INTERACTIONS,64,3.2707372114068156,Reactome,5.361418323923798,1.0,high
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,173,3.2483544430537967,Reactome,6.817193230594469,1.0,high
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,87,3.237950007863347,Reactome,5.306648028720318,1.0,high
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,190,3.207545090582003,Reactome,3.565074276513927,0.9916666666666667,high
REACTOME_CLEC7A_DECTIN_1_SIGNALING,87,3.206829985323042,Reactome,5.254662722348833,1.0,high
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,141,3.194711662017307,Reactome,6.579866682081313,1.0,high
REACTOME_PLATELET_HOMEOSTASIS,84,3.185841729351101,Reactome,5.219602306968626,1.0,high
REACTOME_INFECTIOUS_DISEASE,1302,3.1838380340656465,Reactome,5.771592487198755,1.0,high
KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY,26,3.148699740259645,KEGG_MEDICUS,5.129917190398593,1.0,high
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,68,3.147339427233498,KEGG,5.155285066548933,1.0,high
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,81,3.129341118205217,Reactome,5.125219291121166,1.0,high
REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS,66,3.12259188155333,Reactome,5.113944841217809,1.0,high
KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY,29,3.1151947339721286,KEGG_MEDICUS,5.074965705392826,1.0,high
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,16,3.106431729794813,Reactome,5.476336948521324,1.0,high
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY,27,3.101984767843231,Reactome,5.053300069832886,1.0,high
REACTOME_SARS_COV_INFECTIONS,458,3.0950451017670995,Reactome,6.158921037852684,1.0,high
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,43,3.079815823618121,Reactome,5.947127185290834,1.0,high
REACTOME_DECTIN_2_FAMILY,24,3.078235877019652,Reactome,5.0143495677259295,1.0,high
REACTOME_FCGR_ACTIVATION,69,3.074905300450253,Reactome,5.034285466767118,1.0,high
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,30,3.056742334636487,Reactome,4.979098057493282,1.0,high
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,94,3.05032760081844,Reactome,6.727942503220459,1.0,high
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,192,3.048999638343914,Reactome,3.3850440275983003,0.9916666666666667,high
KEGG_TYPE_I_DIABETES_MELLITUS,40,3.0467042761791405,KEGG,5.882021242605845,1.0,high
KEGG_CHEMOKINE_SIGNALING_PATHWAY,182,3.014296941247145,KEGG,6.335211927038738,1.0,high
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,165,2.996053839253773,Reactome,6.2976449445160885,1.0,high
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,130,2.985156854936173,Reactome,6.071355075771979,1.0,high
