module,mean_ATL,mean_control,cohens_d,p,coverage,q,verdict
clear,0.37813780371947814,0.2730135906140462,1.1972732899780822,4.577011224551527e-05,0.9285714285714286,0.00018308044898206107,UP in ATL
elongation,0.35191431127564365,0.3462553490871101,0.05653198328093445,0.5792600377360536,1.0,0.5792600377360536,no shift
fusion,0.45907514688972145,0.4707482265192651,-0.16875306609396498,0.5223232156348578,0.9333333333333333,0.5792600377360536,no shift
initiation,0.7164886804884169,0.7945230297455043,-0.6357164537014777,0.030539156333778468,0.75,0.061078312667556936,no shift
