gene,mean_ATL,mean_control,log2FC,p,q
CREBBP,9.511147594948879,9.87222956666865,-0.36108197171977174,0.0033814661661565933,0.00507219924923489
EP300,7.582056190975674,7.651749081632824,-0.06969289065714968,0.4177256953072792,0.4177256953072792
SIRT1,8.546900382447363,9.712652011706805,-1.1657516292594412,6.232831783068166e-10,1.86984953492045e-09
