gene,cohens_d,rho_erythroid
CADM1,6.033418268844535,0.45689867950141927
EVC2,5.865497269385259,0.57469455757127
TIAM2,5.766689686336423,0.5675367147969888
FAM83F,-5.726898690207006,-0.6112859434777244
EVC,5.646369568635622,0.48488214241638905
DBH,-5.561746700054015,-0.5543248538987039
ATP1B1,5.503590187968489,0.49344759232302365
USP35,-5.482828357516192,-0.5776564235468346
LYSMD2,-5.006432278857551,-0.4982105393064298
GREM2,-4.940309094192508,-0.58188325311613
LRIG3,4.934435239120254,0.5196840676292731
BIRC2,-4.897659383350563,-0.6353511045291867
NOG,-4.785042129608193,-0.5302048623966433
ZNF704,-4.66757719412914,-0.5658706651857338
DAAM1,4.4875485187226,0.41037270146859195
RAB7B,-4.461288270279265,-0.6000246822164631
PTHLH,4.448195170262031,0.586140935456004
TMEM147,4.41474462058289,0.5944032211496663
TMEM45B,-4.410887645459927,-0.5369307663828212
MFSD10,4.339338052525946,0.5740157966185364
CD40LG,-4.339305946677098,-0.5147709918388625
ZNF365,4.334017287683981,0.5143465383191411
ARRDC2,-4.329013556630356,-0.6145907256635466
PLCL1,-4.328512767043148,-0.6794449543963252
KIAA1324,4.3171219639482965,0.523232136245835
STUB1,4.309317570147231,0.6297456150572701
ZNRF3,-4.278152510696089,-0.5444279896334692
CCDC50,4.244590985519297,0.5701900530667655
EDAR,-4.229521880741328,-0.5754394625577087
DKFZP564O0823,4.222394311879924,0.43286771002544927
CD200,-4.214612340153433,-0.5633715907688511
GADD45A,-4.196813838368876,-0.49701111481111626
YIPF5,-4.183693463762161,-0.6208194495865731
CHST7,4.1653365940472735,0.5842897692212762
PDXDC1,-4.156219849157788,-0.5518635073429595
SCML1,-4.151265050310968,-0.5943786252005432
MID2,-4.143977353410041,-0.5140882550462614
CHMP1B,-4.131686784081817,-0.575774404541528
S1PR2,-4.129535707370835,-0.5806491422929779
BHLHE22,4.122460455846819,0.4919474268789338
SKIL,-4.103342544481306,-0.6338701715414046
CTHRC1,4.029299618642699,0.5780883623349378
C2orf55,-3.9936563031604395,-0.4827841540170308
CYBA,3.9887278132510526,0.6150808342589166
DCHS1,-3.986922261463899,-0.5479143527088733
BPGM,-3.9806702081393035,-0.42302233740589906
CXCR3,-3.963908267127667,-0.543070467728002
LEPROTL1,-3.9611686843867586,-0.5819031678499633
ITK,-3.9540072568670888,-0.4924370397400021
PMEPA1,-3.939615890230988,-0.5881463655436259
JMJD3,-3.936238373526821,-0.5254535357275084
RGS16,-3.9253348554760623,-0.5728125385659633
OMG,3.9237147545741915,0.6341786992471925
YPEL5,-3.922697569812524,-0.5749348225851111
CSTF2,-3.916848619261743,-0.5939775391830187
SC5DL,-3.8800291391335096,-0.5662717512032581
TGFBR2,-3.8796850162043204,-0.6174458337052247
FOXJ1,-3.8776776177059635,-0.49614340367765036
CXCR6,-3.8769737827954582,-0.6308157472541035
RAI2,-3.8324181149943115,-0.4767370109835864
LAYN,-3.821353630950816,-0.6274527952610145
SEC14L2,-3.8124567195909944,-0.5608416635813896
SPG20,-3.8085562731148968,-0.5508145131432803
PPFIBP1,3.7974374311698083,0.5085462174503271
TMEM88,-3.793571128305331,-0.5634641490805875
NTNG2,3.7924387024064945,0.5394073091982878
FUT8,3.790874442522128,0.5550413427125757
C14orf106,3.778509268167804,0.5381648772059733
BAZ1A,-3.77575176597621,-0.6120264099716155
RBM11,-3.768166664560709,-0.571812039394689
DYRK3,-3.7577498564029295,-0.40114772306553137
CNTLN,3.7544412245095153,0.5457434418236036
KCNG3,3.7493134685289284,0.5053992348512898
C4orf48,3.7358002348005694,0.6191581756800225
LOC100131117,3.7355515252162665,0.4918857213377762
KLHL34,-3.725905496415467,-0.5373935579415032
SETD1B,-3.7246558726312045,-0.6119029988893003
PAPSS1,3.7109342545537705,0.563807878332506
C16orf87,3.708111613929855,0.5366222386770333
PLAG1,-3.693465502732233,-0.5908305565839814
FBXO41,3.6896426476067767,0.5712699000370234
CYSLTR1,-3.681965017602224,-0.6140318400592373
NSMCE1,3.6818550989702814,0.5445864540027944
CHD6,-3.6717209083591253,-0.6017524373688757
SIN3A,-3.6698996664789765,-0.5352338640009874
ST3GAL5,-3.63534492452865,-0.5186042206590152
PHLDB3,-3.6277623428014203,-0.5107869831308857
GCNT4,-3.6247297552930324,-0.49815267612764813
RNF135,3.6166901352798755,0.5157657657657658
STAT4,-3.5853350074686796,-0.6392077008515366
CXorf57,-3.570940394301757,-0.661318811870313
ZSCAN18,-3.5698954470064708,-0.6056398864618043
FYCO1,-3.5633254540675177,-0.5981627033584033
ARSA,3.5457832169352725,0.5752499074416884
R3HDM1,3.542893835946213,0.5810392836104258
MAN1C1,-3.5418179005182693,-0.5373009996297669
FOXC1,3.5394246086718675,0.6793832483792155
SMAD7,-3.5255244825211496,-0.6068122917437986
SHF,-3.5238854656998013,-0.650592373195113
ADAP1,3.517161785045362,0.5532210292484266
